row,column,well,condition_code,timepoint_h,cell_line,compound,is_control
B,2,B02,Cnd17,36,CBA,PBS,True
B,3,B03,Cnd12,36,CBA,MEM AA,False
B,4,B04,Cnd4,36,CBA,Wortmannin,False
B,5,B05,Cnd6,36,CBA,PF-4708671,False
B,8,B08,Cnd17,48,CBA,PBS,True
B,9,B09,Cnd12,48,CBA,MEM AA,False
B,10,B10,Cnd4,48,CBA,Wortmannin,False
B,11,B11,Cnd6,48,CBA,PF-4708671,False
B,14,B14,Cnd17,60,CBA,PBS,True
B,15,B15,Cnd12,60,CBA,MEM AA,False
B,16,B16,Cnd4,60,CBA,Wortmannin,False
B,17,B17,Cnd6,60,CBA,PF-4708671,False
B,20,B20,Cnd17,84,CBA,PBS,True
B,21,B21,Cnd12,84,CBA,MEM AA,False
B,22,B22,Cnd4,84,CBA,Wortmannin,False
B,23,B23,Cnd6,84,CBA,PF-4708671,False
C,2,C02,Cnd13,36,CBA,Dorsomorphin,False
C,3,C03,Cnd3,36,CBA,MK-2206,False
C,4,C04,Cnd7,36,CBA,LipidMix,False
C,5,C05,Cnd2,36,CBA,IGF,False
C,8,C08,Cnd13,48,CBA,Dorsomorphin,False
C,9,C09,Cnd3,48,CBA,MK-2206,False
C,10,C10,Cnd7,48,CBA,LipidMix,False
C,11,C11,Cnd2,48,CBA,IGF,False
C,14,C14,Cnd13,60,CBA,Dorsomorphin,False
C,15,C15,Cnd3,60,CBA,MK-2206,False
C,16,C16,Cnd7,60,CBA,LipidMix,False
C,17,C17,Cnd2,60,CBA,IGF,False
C,20,C20,Cnd13,84,CBA,Dorsomorphin,False
C,21,C21,Cnd3,84,CBA,MK-2206,False
C,22,C22,Cnd7,84,CBA,LipidMix,False
C,23,C23,Cnd2,84,CBA,IGF,False
D,2,D02,Cnd7,36,CBA,LipidMix,False
D,3,D03,Cnd18,36,CBA,DMSO,True
D,4,D04,Cnd14,36,CBA,Geldanamycin,False
D,5,D05,Cnd8,36,CBA,Glucose,False
D,8,D08,Cnd7,48,CBA,LipidMix,False
D,9,D09,Cnd18,48,CBA,DMSO,True
D,10,D10,Cnd14,48,CBA,Geldanamycin,False
D,11,D11,Cnd8,48,CBA,Glucose,False
D,14,D14,Cnd7,60,CBA,LipidMix,False
